square_id,latitude,longitude,avg_latency,std_latency,total_throughput,zone_avg_latency,zone_avg_upload,zone_avg_download,cluster
square_68719476744,-37.77042448095633,144.76561682374236,360.8040962742288,22.320552266156987,19.225376890225508,360.80409627422887,7.369121351534806,11.856255538690702,4
square_68719476746,-37.770725997106595,144.77357120568527,204.2662681472081,16.932545933714927,27.36094398794416,204.2662681472081,11.389872081218272,15.97107190672589,1
square_68719476748,-37.77030760451586,144.77797726845824,93.83966373458928,14.202728429817824,34.1153040587339,93.83966373458928,13.69033384125225,20.424970217481643,1
square_68719476750,-37.770715186862965,144.78815786251417,135.33226557191392,20.74101162497078,29.899516332814272,135.33226557191392,11.66515288788222,18.23436344493205,1
square_68719476752,-37.771145447642255,144.79495160972075,161.51816336275027,19.57178246004212,30.806860152185276,161.51816336275027,11.077669307278631,19.729190844906647,1
square_68719476754,-37.771438388215856,144.80014110774596,127.67684792584436,13.61723496737613,29.135882200893676,127.67684792584436,12.199278634361232,16.936603566532444,1
square_68719476757,-37.76875163407276,144.80882503087844,324.6409991126886,18.614634025822618,18.321920717335846,324.6409991126886,6.2227057661379765,12.09921495119787,4
square_68719476759,-37.7678640626927,144.81332378622815,324.4649897225077,17.56753193131205,15.042252075571685,324.46498972250765,4.970729701952724,10.071522373618963,4
square_68719476761,-37.76849178720075,144.82382734798935,285.6137419809107,12.441891714973234,23.464554842747614,285.6137419809107,6.624315443592552,16.840239399155063,4
square_68719476763,-37.770528337681355,144.83149320861367,183.0535524509131,13.831769297188918,22.907142368679633,183.0535524509131,7.611603734724701,15.29553863395493,1
square_68719476765,-37.77031182957023,144.83772825690107,159.52766102509148,12.302039501994168,26.665026273829266,159.52766102509148,10.158392789092236,16.506633484737026,1
square_68719476767,-37.771323004606366,144.8444818181742,172.03477868509214,13.017874857503774,23.957661029758167,172.03477868509214,9.327369734414258,14.630291295343907,1
square_68719476769,-37.77037320364742,144.84870979331308,320.8655268490375,9.212030866063275,18.645714285714284,320.86552684903745,9.646079027355624,8.999635258358662,4
square_68719476793,-37.76405663258562,144.739008774284,318.55902588624076,20.909093089802717,23.724941329971337,318.5590258862407,7.369649509313039,16.355291820658298,4
square_68719476795,-37.76368184226755,144.74220808444025,307.55359938330173,25.292306998829638,32.079159623495315,307.5535993833016,11.530934535104365,20.54822508839095,1
square_68719476797,-37.76201280128009,144.7532697436757,286.02314843035657,22.205323897282316,27.310941488399116,286.0231484303566,8.91698262724779,18.39395886115133,1
square_68719476799,-37.76387594033253,144.7588893748324,258.23607032716546,19.287583506826106,23.890213750387588,258.23607032716546,8.439316170555108,15.450897579832478,4
square_68719476801,-37.76466102037258,144.76482207460768,370.96835206937686,15.650755258974359,22.591982254290173,370.9683520693769,6.085648343580802,16.50633391070937,4
square_68719476803,-37.76403589643782,144.77354975145076,167.50448776894922,21.447441596252776,24.454072508871974,167.50448776894922,7.703789840192839,16.750282668679137,1
square_68719476805,-37.76389110329955,144.7791558816045,302.3582407806772,11.912180383594484,24.92089713176623,302.3582407806772,8.297271943066637,16.62362518869959,4
square_68719476807,-37.764551087779694,144.78748240040682,416.36522062275077,12.542251184462561,20.564218581916954,416.3652206227507,5.0602409638554215,15.503977618061532,4
square_68719476809,-37.76327036991279,144.7944210002907,372.8257231104651,11.94906169240455,16.204279745412425,372.8257231104651,3.539327034883721,12.664952710528706,4
square_68719476811,-37.765356785005515,144.80214989966925,213.89306106823474,14.952996899712149,29.412321038910328,213.89306106823472,10.628118338846011,18.784202700064313,1
square_68719476813,-37.76352539136262,144.8087953648548,306.62344229337305,11.232496374682874,23.686812479639798,306.62344229337305,7.915011169024572,15.77180131061523,4
square_68719476815,-37.764289826504694,144.81621626880178,358.3227774710105,15.795197594603,22.37050500414136,358.3227774710105,7.571276642738817,14.79922836140254,4
square_68719476817,-37.76426643646926,144.82360322485007,229.09007964767616,15.269850265632208,22.871894424369845,229.09007964767616,8.407415292353823,14.464479132016022,1
square_68719476819,-37.764403644372,144.83010578945095,219.278308754222,13.697267528513382,27.479720555539874,219.278308754222,8.211217465303688,19.268503090236184,1
square_77309411328,-37.76628734484921,144.83759104737473,208.4467843908557,10.871217722679125,23.03382656837908,208.44678439085573,10.492398380936091,12.54142818744299,1
square_77309411330,-37.76594230458439,144.84400881014125,177.46871498031953,12.321737780226774,22.809776037295237,177.4687149803195,9.09245542949757,13.717320607797667,1
square_77309411332,-37.76451942823433,144.85079297065764,182.65359674771724,12.348862103711374,22.666521818412075,182.65359674771724,10.366882502308403,12.299639316103672,1
square_77309411361,-37.75802549457869,144.7395942907373,240.3632008983891,22.47168738665743,33.782758244510916,240.3632008983891,11.589662329615864,22.19309591489506,1
square_77309411363,-37.75808877173145,144.7432080850412,239.71328621908128,20.730355297972732,32.09512679439046,239.71328621908123,10.449755005889282,21.645371788501176,1
square_77309411365,-37.75967475668073,144.74894514556962,345.57946554149083,23.226965534901712,21.710940851353726,345.5794655414909,7.375436005625878,14.335504845727847,4
square_77309411367,-37.75634465360286,144.75988861166118,528.003173129813,9.09148406300065,12.947628978229854,528.003173129813,3.60973597359736,9.337893004632496,4
square_77309411369,-37.75582592823843,144.7647954961705,392.92003413253417,11.230799131172907,23.06905164822157,392.9200341325341,6.420496170496171,16.6485554777254,4
square_77309411371,-37.75721053071572,144.77266774837872,255.72716307039263,20.39080284956047,29.310581476701596,255.72716307039263,9.30725739889164,20.003324077809957,1
square_77309411373,-37.75763356288361,144.77756963664768,234.25380035710302,18.69131999802147,22.998420551556745,234.253800357103,8.458938734516238,14.53948181704051,1
square_77309411375,-37.75658569259023,144.78748648482912,384.9254750878314,14.65533296583889,9.404014576388334,384.9254750878314,3.5162088789524115,5.887805697435923,4
square_77309411377,-37.756230577319585,144.79381893490427,198.6600405007364,43.21355242260007,23.947101683311857,198.6600405007364,5.828175257731958,18.118926425579897,1
square_77309411379,-37.75695243702902,144.80204939584422,351.02911512347987,28.26936579881889,21.274970080887908,351.0291151234798,5.8587021562336785,15.416267924654228,4
square_77309411381,-37.757360882620894,144.8081300722333,376.46762455769306,29.048765814515182,22.059356543536726,376.46762455769306,6.019119453369667,16.04023709016706,4
square_77309411383,-37.75645996168324,144.81541700839688,499.1496790850304,24.354191894945995,17.317676260058754,499.1496790850304,4.7738422932149405,12.543833966843817,4
